49	0	45	101	108
51	123	144	212	251
51	41	76	144	124
52	88	29	189	85
52	45	160	93	206
53	81	84	189	184
53	80	4	187	84
54	120	150	226	238
56	153	167	256	223
56	55	8	160	99
57	111	117	211	224
57	100	0	184	105
58	41	34	147	113
59	7	184	113	255
6	106	208	209	256
60	16	16	221	123
61	144	47	245	64
63	135	27	241	73
63	3	215	60	254
63	2	147	67	206
65	151	75	249	179
65	5	181	107	235
66	127	62	227	128
66	19	0	124	42
67	132	161	239	250
68	0	174	95	247
70	159	60	250	149
70	95	168	201	215
71	108	169	121	182
71	19	181	82	218
72	129	193	234	236
72	78	101	184	188
73	184	0	239	100
74	96	67	203	148
74	75	171	177	244
76	145	137	237	199
76	115	7	219	58
78	143	142	243	226
78	106	38	212	121
79	56	46	161	144
80	47	61	151	136
83	145	27	248	93
87	110	55	214	106
89	114	199	221	241
90	136	29	237	90
91	94	200	198	246
92	138	37	245	100
94	118	184	225	239
94	79	16	174	81
95	143	149	248	191
95	4	176	109	225
96	14	152	117	199
97	122	0	229	73
97	5	146	110	188
98	148	74	254	124
99	112	178	215	215
99	104	9	189	113
99	0	133	103	204
